Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
543384,NYKAA,A,252.95,255.90,251.30,255.05,98424,249.00,2842
544012,CELLO,A,630.05,651.40,628.65,646.20,37978,245.00,1945
532777,NAUKRI,A,1381.20,1390.00,1361.00,1367.75,17601,241.00,1828
500040,ABREL,A,1686.65,1759.00,1686.65,1753.55,13999,241.00,1598
532814,INDIANB,A,811.75,835.10,811.75,824.70,28977,240.00,1437
532505,UCOBANK,A,31.80,32.23,31.61,32.07,746668,239.00,2629
544252,BAJAJHFL,A,110.05,111.10,109.65,109.85,217784,239.00,2112
523642,PIIND,A,3591.05,3651.00,3570.00,3618.00,6511,236.00,986
539524,LALPATHLAB,A,3110.95,3194.00,3070.00,3147.00,7563,236.00,1307
500002,ABB,A,5200.00,5238.00,5172.70,5230.75,4464,232.00,1017
523704,MASTEK,A,2122.00,2208.85,2101.30,2198.30,10640,230.00,1756
542726,INDIAMART,A,2351.40,2463.00,2351.40,2450.45,9393,228.00,1805
522205,PRAJIND,A,340.85,344.20,336.60,337.95,67356,228.00,2805
532175,CYIENT,A,1187.40,1214.25,1187.40,1209.00,18544,223.00,1994
543529,DELHIVERY,A,470.00,473.95,467.95,472.70,47247,222.00,2009
500144,FINCABLES,A,790.00,799.40,785.95,791.45,27791,220.00,1672
500368,PATANJALI,A,583.00,591.00,581.50,588.70,37602,220.00,1206
506401,DEEPAKNTR,A,1750.15,1764.75,1740.00,1750.35,12563,219.00,1955
